排名,股票代码,股票名称,资产垫等级,保守资产垫比率,宽松资产垫比率,自由现金流(元),资本开支率,兑现路径,资产垫得分,经营安全得分,兑现安全得分,综合评分,资产垫连续加分,经营安全连续调整,兑现安全连续加分,次级排序得分,评分模式
1,00050,香港小轮（集团）,T1,0.8433,1.0060,"69,700,584",0.1036,EARNINGS_RECOVERY,70.20,100.00,64.48,77.42,0.20,11.89,4.48,0.3196,continuous
2,00032,港通控股,T2,0.6933,0.8920,"71,560,314",0.2566,EARNINGS_RECOVERY,40.00,100.00,62.81,64.84,-0.00,7.30,2.81,0.2725,continuous
3,00046,科联系统,T1,0.5520,1.0375,"35,777,447",0.0871,NONE,70.09,100.00,0.00,58.04,0.09,12.39,0.00,0.2660,continuous
4,00027,银河娱乐,FAIL,-0.0118,0.0812,"16,019,229,019",0.2443,EARNINGS_RECOVERY,0.00,100.00,60.85,48.25,0.00,7.67,0.85,0.0122,continuous
5,00034,九龙建业,FAIL,-3.1790,-2.7193,"1,372,466,274",0.0415,EARNINGS_RECOVERY,0.00,100.00,60.46,48.14,0.00,13.76,0.46,0.0000,continuous
6,00016,新鸿基地产,FAIL,-0.3919,-0.2059,"43,013,945,650",0.2386,EARNINGS_RECOVERY,0.00,100.00,60.05,48.02,0.00,7.84,0.05,0.0000,continuous
7,00018,东方传媒集团,T2,0.5274,0.7260,"121,659,447",0.0481,NONE,40.00,100.00,0.00,46.00,-0.00,13.56,0.00,0.2144,continuous
8,00029,达力集团,T2,-2.4693,0.1499,"11,165,916",0.1330,NONE,40.00,100.00,0.00,46.00,-0.00,11.01,0.00,0.0225,continuous
9,00057,震雄集团,T2,-0.6625,0.4713,"-25,149,886",N/A,EARNINGS_RECOVERY,40.00,0.00,62.51,34.75,-0.00,0.00,2.51,0.0707,continuous
10,00048,中国汽车内饰,T2,-0.2286,0.0605,"8,990,000",N/A,NONE,40.00,50.00,0.00,31.00,-0.00,-0.00,0.00,0.0091,continuous
11,00026,中华汽车,FAIL,0.4665,0.4992,"4,965,568",0.0503,NONE,0.00,100.00,0.00,30.00,0.00,13.49,0.00,0.1682,continuous
12,00052,大快活集团,FAIL,-1.6244,0.9669,"699,168,307",0.2919,NONE,0.00,100.00,0.00,30.00,0.00,6.24,0.00,0.1450,continuous
13,00038,第一拖拉机股份,FAIL,-0.5170,0.1551,"1,108,644,195",0.2107,NONE,0.00,100.00,0.00,30.00,0.00,8.68,0.00,0.0233,continuous
14,00004,九龙仓集团,FAIL,-0.2676,0.0200,"3,954,297,160",0.0896,NONE,0.00,100.00,0.00,30.00,0.00,12.31,0.00,0.0030,continuous
15,00001,长和,FAIL,-1.0445,-0.4004,"75,330,354,440",0.3330,NONE,0.00,100.00,0.00,30.00,0.00,5.01,0.00,0.0000,continuous
16,00003,香港中华煤气,FAIL,-0.5603,-0.3521,"14,148,580,012",0.4872,NONE,0.00,100.00,0.00,30.00,0.00,0.38,0.00,0.0000,continuous
17,00005,汇丰控股,FAIL,0.0000,0.0000,"241,980,497,600",0.1566,NONE,0.00,100.00,0.00,30.00,0.00,10.30,0.00,0.0000,continuous
18,00006,电能实业,FAIL,-0.0331,-0.0051,"799,349,700",0.0011,NONE,0.00,100.00,0.00,30.00,0.00,14.97,0.00,0.0000,continuous
19,00007,智富资源投资,FAIL,-9.2149,-3.0180,"51,369,291",0.0244,NONE,0.00,100.00,0.00,30.00,0.00,14.27,0.00,0.0000,continuous
20,00010,恒隆集团,FAIL,-3.0485,-1.9746,"5,898,026,600",0.0772,NONE,0.00,100.00,0.00,30.00,0.00,12.68,0.00,0.0000,continuous
21,00012,恒基地产,FAIL,-0.9645,-0.6705,"14,493,971,340",0.3020,NONE,0.00,100.00,0.00,30.00,0.00,5.94,0.00,0.0000,continuous
22,00017,新世界发展,FAIL,-7.5808,-5.0578,"14,438,630,765",0.3287,NONE,0.00,100.00,0.00,30.00,0.00,5.14,0.00,0.0000,continuous
23,00022,茂盛控股,FAIL,-1.1997,-0.3777,"27,370,215",0.0163,NONE,0.00,100.00,0.00,30.00,0.00,14.51,0.00,0.0000,continuous
24,00023,东亚银行,FAIL,0.0000,0.0000,"16,467,507,040",0.0724,NONE,0.00,100.00,0.00,30.00,0.00,12.83,0.00,0.0000,continuous
25,00035,远东发展,FAIL,-10.8874,-9.0412,"5,572,751,659",0.2295,NONE,0.00,100.00,0.00,30.00,0.00,8.12,0.00,0.0000,continuous
26,00036,远东控股国际,FAIL,-6.6373,-5.1014,"6,807,569",0.0315,NONE,0.00,100.00,0.00,30.00,0.00,14.06,0.00,0.0000,continuous
27,00040,金山科技工业,FAIL,-6.0192,-3.0301,"805,738,561",0.3383,NONE,0.00,100.00,0.00,30.00,0.00,4.85,0.00,0.0000,continuous
28,00041,鹰君,FAIL,-1.9534,-1.2789,"7,857,355,553",0.1503,NONE,0.00,100.00,0.00,30.00,0.00,10.49,0.00,0.0000,continuous
29,00053,国浩集团,FAIL,0.0000,0.0000,"8,327,585,063",0.2155,NONE,0.00,100.00,0.00,30.00,0.00,8.53,0.00,0.0000,continuous
30,00058,新威国际,FAIL,-1.0288,-0.0276,"3,982,297",0.0372,NONE,0.00,100.00,0.00,30.00,0.00,13.88,0.00,0.0000,continuous
31,00060,香港食品投资,T2,0.1871,0.4418,"12,346,543",0.9105,NONE,40.00,35.00,0.00,26.50,-0.00,-15.00,0.00,0.1037,continuous
32,00013,和黄医药,FAIL,-0.1744,-0.0088,"-284,729,659",N/A,EARNINGS_RECOVERY,0.00,0.00,64.50,19.35,0.00,0.00,4.50,0.0000,continuous
33,00020,商汤－Ｗ,FAIL,0.0169,0.0948,"4,317,776,000",N/A,NONE,0.00,50.00,0.00,15.00,0.00,-0.00,0.00,0.0176,continuous
34,00021,大中华控股,FAIL,-3.5477,0.0464,"6,653,119",N/A,NONE,0.00,50.00,0.00,15.00,0.00,-0.00,0.00,0.0070,continuous
35,00028,天安,FAIL,-2.6166,0.1432,"425,715,586",2.5555,NONE,0.00,35.00,0.00,10.50,0.00,-15.00,0.00,0.0215,continuous
36,00002,中电控股,FAIL,-0.5471,-0.2701,"36,736,667,060",0.6684,NONE,0.00,35.00,0.00,10.50,0.00,-15.00,0.00,0.0000,continuous
37,00008,电讯盈科,FAIL,-1.8110,-1.0588,"17,951,497,500",0.6279,NONE,0.00,35.00,0.00,10.50,0.00,-15.00,0.00,0.0000,continuous
38,00014,希慎兴业,FAIL,-1.5858,-1.1069,"4,444,745,620",1.1508,NONE,0.00,35.00,0.00,10.50,0.00,-15.00,0.00,0.0000,continuous
39,00019,太古股份公司Ａ,FAIL,-1.8259,-0.8698,"20,063,225,860",0.5266,NONE,0.00,35.00,0.00,10.50,0.00,-15.00,0.00,0.0000,continuous
40,00031,航天控股,FAIL,-1.9366,-0.1197,"919,302,735",2.1751,NONE,0.00,35.00,0.00,10.50,0.00,-15.00,0.00,0.0000,continuous
41,00033,INTL GENIUS,FAIL,-0.2300,0.1977,"-5,885,873",N/A,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0297,continuous
42,00051,海港企业,FAIL,-0.1500,0.1086,0,0.0000,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0163,continuous
43,00030,云白国际,FAIL,-0.0150,0.0808,"-90,059,438",N/A,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0121,continuous
44,00037,远东酒店实业,FAIL,-0.0156,0.0181,"-8,145,574",N/A,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0027,continuous
45,00025,CHEVALIER INT'L,FAIL,-6.2956,-1.9563,"-234,352,678",N/A,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,continuous
46,00039,中国北大荒,FAIL,-0.4952,-0.0464,"-111,129,430",N/A,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,continuous
47,00045,大酒店,FAIL,-1.6000,-1.1201,0,0.0000,NONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,continuous
